spec_group,baseline,alpha,n_seeds,return_mean_mean,return_mean_std,satisfaction_rate_mean,satisfaction_rate_std,violation_rate_mean,violation_rate_std,goal_rate_mean,goal_rate_std,bomb_hit_rate_mean,bomb_hit_rate_std,runtime_sec_mean,runtime_sec_std
avoid_bombs,vanilla,0.0,3,-0.9288266666666667,0.24981673069138774,0.3526666666666667,0.34925253518526295,0.6473333333333334,0.34925253518526295,0.018,0.029461839725312473,0.6473333333333334,0.34925253518526295,2364.0903900464377,102.71691939272608
avoid_bombs,logic_alpha0.01,0.01,3,-0.9326333333333334,0.09945180206176926,0.32066666666666666,0.15500107526508752,0.6793333333333335,0.15500107526508752,0.02666666666666666,0.03946306289852997,0.6793333333333335,0.15500107526508752,2345.0054880777993,69.07591810341218
avoid_bombs,logic_alpha0.05,0.05,3,-0.9457866666666668,0.2531239264339373,0.26133333333333336,0.30028208959798675,0.7386666666666667,0.30028208959798675,0.04933333333333333,0.0854478398400646,0.7386666666666667,0.30028208959798675,2270.269984404246,33.90833469666726
avoid_bombs,logic_alpha0.1,0.1,3,-0.9434266666666667,0.09573804538078542,0.30533333333333335,0.1640162593566057,0.6946666666666667,0.1640162593566057,0.024666666666666667,0.03257811126098831,0.6946666666666667,0.1640162593566057,2352.1100726922355,71.59954896340952
avoid_bombs,logic_alpha0.2,0.2,3,-0.92566,0.20325484594469076,0.3126666666666667,0.310717449354447,0.6873333333333332,0.31071744935444695,0.032,0.026229754097208,0.6873333333333332,0.31071744935444695,2302.505514462789,138.7556807126519
avoid_bombs,logic_alpha0.4,0.4,3,-0.86204,0.18782685537483715,0.4446666666666667,0.27734695479369037,0.5553333333333333,0.27734695479369037,0.011999999999999999,0.015874507866387545,0.5553333333333333,0.27734695479369037,2375.490273396174,103.10996769082493
reach_goal_while_safe,vanilla,0.0,3,-0.9288266666666667,0.24981673069138774,0.018,0.029461839725312473,0.9819999999999999,0.029461839725312498,0.018,0.029461839725312473,0.6473333333333334,0.34925253518526295,2378.6460383733115,103.79149375815138
reach_goal_while_safe,logic_alpha0.01,0.01,3,-0.9843800000000001,0.029056448509754185,0.013999999999999999,0.015099668870541498,0.9860000000000001,0.015099668870541512,0.013999999999999999,0.015099668870541498,0.7319999999999999,0.01442220510185597,2341.942811727524,46.98278552622842
reach_goal_while_safe,logic_alpha0.05,0.05,3,-0.9397733333333335,0.16204534838536197,0.008666666666666668,0.004163331998932265,0.9913333333333334,0.004163331998932269,0.008666666666666668,0.004163331998932265,0.6833333333333332,0.30161122879185603,2299.311012506485,52.559426990264974
reach_goal_while_safe,logic_alpha0.1,0.1,3,-0.9034066666666667,0.07529419720890396,0.04666666666666667,0.04509249752822894,0.9533333333333333,0.045092497528228935,0.04666666666666667,0.04509249752822894,0.65,0.019697715603592226,2385.51997756958,32.08382132117476
reach_goal_while_safe,logic_alpha0.2,0.2,3,-0.9332133333333336,0.16244494000532414,0.04066666666666666,0.03689625093872456,0.9593333333333334,0.03689625093872455,0.04066666666666666,0.03689625093872456,0.734,0.22739393131743865,2289.214366118113,109.97902514268081
reach_goal_while_safe,logic_alpha0.4,0.4,3,-0.9038466666666668,0.18263937180502265,0.03266666666666667,0.028448784391135823,0.9673333333333334,0.02844878439113585,0.03266666666666667,0.028448784391135823,0.6766666666666667,0.2895605866366024,2311.088727871577,144.94706201700293
